Name,Years,Position,Party,State,Congress,Link
"CRAGIN, Aaron Harrison",1821-1898,Senator,Republican,NH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000852
"CRAPO, William Wallace",1830-1926,Representative,Republican,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000881
"CROUNSE, Lorenzo",1834-1909,Representative,Republican,NE,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000935
"CULBERSON, David Browning",1830-1900,Representative,Democrat,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000964
"CUTLER, Augustus William",1827-1897,Representative,Democrat,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001025
"DANFORD, Lorenzo",1829-1899,Representative,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000028
"DARRALL, Chester Bidwell",1842-1908,Representative,Republican,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000062
"DAVIS, Henry Gassaway",1823-1916,Senator,Democrat,WV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000103
"DAVIS, Joseph Jonathan",1828-1892,Representative,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000123
"DAVY, John Madison",1835-1909,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000145
"DAWES, Henry Laurens",1816-1903,Senator,Republican,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000148
"DE BOLT, Rezin A.",1828-1891,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000180
"DENISON, Dudley Chase",1819-1905,Representative,Republican,VT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000236
"DENNIS, George Robertson",1822-1882,Senator,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000242
"DIBRELL, George Gibbs",1822-1888,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000301
"DOBBINS, Samuel Atkinson",1814-1886,Representative,Republican,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000383
"DORSEY, Stephen Wallace",1842-1916,Senator,Republican,AR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000441
